pa_id,name,type,type_group,iucn_category,state,governance,environment,area_ha,area_km2,longitude,latitude,gaz_year,is_indigenous
VIC_2537,Wannon River (1) SS.R,Natural Features Reserve,Nature reserve,III,VIC,G,T,14.12,0.14,141.9570428,-37.6525285,1983,False
VIC_4545,Bendigo Creek SS.R.,Natural Features Reserve,Nature reserve,III,VIC,G,T,14.09,0.14,144.29832888,-36.73375964,2002,False
VIC_1970,Digby H31 B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.09,0.14,141.49314451,-37.78972477,1984,False
VIC_2204,Mossiface B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,14.09,0.14,147.81624922,-37.7453255,1984,False
TAS_10686,Tallahassee Jackeys Marsh,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,14.09,0.14,146.67908696,-41.67723687,2005,False
WA_33254,Nanamoolan,Nature Reserve,Nature reserve,Ia,WA,G,T,14.08,0.14,116.48812466,-31.64841911,1975,False
VIC_2786,Robin Hood SS.R.,Natural Features Reserve,Nature reserve,III,VIC,G,T,14.04,0.14,145.82981734,-38.08572304,1997,False
VIC_4183,Ada Tall Trees Reserve,Nature Conservation Reserve,Conservation park/reserve,Ia,VIC,G,T,14.04,0.14,145.85833206,-37.81657965,1997,False
VIC_719,Cookes Reserve W.R.,Natural Features Reserve,Nature reserve,VI,VIC,G,T,14.04,0.14,141.96881581,-36.87903271,1983,False
SA_1332,Unnamed (No.HA1332),Heritage Agreement,Private or covenant,III,SA,P,T,14.02,0.14,138.62568701,-35.29840907,2005,False
WA_51982,Unnamed WA51982,5(1)(h) Reserve,Other,IV,WA,G,T,14.01,0.14,116.14945449,-34.18539537,2015,False
QLD_0922PIM001,Pimpama,Conservation Park,Conservation park/reserve,III,QLD,G,T,14.0,0.14,153.34781797,-27.82690034,2004,False
QLD_0321MHE001,Mount Hector,Conservation Park,Conservation park/reserve,III,QLD,G,T,13.98,0.14,149.26557172,-21.26839579,1977,False
VIC_421,Lake Dubban W.R,Natural Features Reserve,Nature reserve,VI,VIC,G,T,13.97,0.14,144.06801543,-38.22441269,1979,False
VIC_1403,Murmungee I37 B.R,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.97,0.14,146.67215463,-36.44693785,1979,False
TAS_50214,George III Monument,Historic Site,Other,V,TAS,G,B,13.96,0.14,146.99988263,-43.47951511,1939,False
VIC_1312,Woornack I246 B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.95,0.14,142.40726754,-35.17121586,1990,False
